-15.00,0.13,194.94,-0.58
-15.00,0.13,194.99,-0.58
-15.00,0.13,194.88,-0.57
-15.00,0.13,194.77,-0.57
-15.00,0.13,194.79,-0.57
-15.00,0.13,194.77,-0.57
-15.00,0.13,194.85,-0.57
-15.00,0.13,194.31,-0.57
-15.00,0.13,194.42,-0.57
-15.00,0.13,194.50,-0.57
-15.00,0.13,194.82,-0.57
-15.00,0.13,194.74,-0.57
-15.00,0.13,194.80,-0.57
-15.00,0.13,194.64,-0.57
-15.00,0.13,194.79,-0.57
-15.00,0.13,194.81,-0.57
-15.00,0.13,194.80,-0.57
-15.00,0.13,194.92,-0.57
-15.00,0.13,194.73,-0.57
-15.00,0.13,194.85,-0.57
-15.00,0.13,194.18,-0.57
-15.00,0.13,194.07,-0.57
-15.00,0.13,194.12,-0.57
-15.00,0.13,193.91,-0.57
-15.00,0.13,193.92,-0.57
-15.00,0.13,194.08,-0.57
-15.00,0.13,194.18,-0.57
-15.00,0.13,194.11,-0.57
-15.00,0.13,194.15,-0.57
-15.00,0.13,194.01,-0.57
-15.00,0.13,194.23,-0.57
-15.00,0.13,194.18,-0.56
-15.00,0.13,194.26,-0.57
-15.00,0.13,194.96,-0.56
-15.00,0.13,194.83,-0.57
-15.00,0.13,195.05,-0.56
-15.00,0.13,194.75,-0.57
-15.00,0.13,194.93,-0.57
-15.00,0.13,194.95,-0.56
-15.00,0.13,194.82,-0.57
-15.00,0.13,194.84,-0.57
